"","rfpreds$predictions"
"Gene Sauers",94.2916666666666
"Xander Schauffele",33.1706666666667
"Scottie Scheffler",46.9289
"Adam Schenk",63.6519333333334
"Tom Scherrer",64.1653
"John Schroeder",65.4568
"Ted Schulz",94.5937333333333
"Matthias Schwab",69.2152333333333
"Charl Schwartzel",61.1883666666667
"Adam Scott",48.7239333333334
"Chase Seiffert",65.5217666666667
"John Senden",77.7330333333334
"Shubhankar Sharma",59.4350666666667
"Tom Shaw",80.1574
"Bob Shearer",52.8538
"Robby Shelton",78.6456
"Wes Short, Jr.",84.6166666666667
"Tom Sieckmann",91.2235666666666
"Marcel Siem",58.9419
"Charles Sifford",80.1138
"R.H. Sikes",91.4859333333334
"Tony Sills",82.1015333333333
"Scott Simpson",99.6979666666666
"Tim Simpson",85.7479
"Webb Simpson",37.3752666666667
"Joey Sindelar",72.2374
"Jeev Milkha Singh",84.2363333333333
"Vijay Singh",85.0601000000001
"Lee Slattery",61.7923666666667
"Roger Sloan",44.8242
"Heath Slocum",72.9472666666667
"Jeff Sluman",46.6117666666667
"Bob Smith",66.2928
"Cameron Smith",50.8452333333333
"Chris Smith",76.7918666666667
"J.C. Snead",84.7504333333333
"Sam Snead",88.4834
"Brandt Snedeker",68.9634666666667
"Ed Sneed",77.4887
"Joey Snyder III",87.9433333333333
"Young-han Song",63.4953333333333
"Bob Sowards",95.4844
"J.J. Spaun",68.3338
"Jordan Spieth",41.7674333333334
"Steve Spray",82.6058666666667
"Mike Springer",97.1525666666667
"Craig Stadler",82.8994
"Kevin Stadler",87.0585
"Scott Stallings",52.4929333333333
"Mike Standly",92.7370333333334
"Paul Stankowski",87.5541
"Kyle Stanley",58.0164666666667
"Brendan Steele",44.5493333333334
"Shawn Stefani",91.8632333333333
"Henrik Stenson",72.8231333333333
"Richard Sterne",66.4544
"Payne Stewart",49.6336333333333
"Dave Stockton",85.2956666666667
"Andre Stolz",81.6075
"Brandon Stone",61.3578
"Graeme Storm",73.9725000000001
"Sepp Straka",59.5574333333333
"Curtis Strange",88.5382333333333
"Robert Streb",72.8264333333333
"Ron Streck",78.1272000000001
"Kevin Streelman",52.7524666666666
"Steve Stricker",60.8959333333334
"Chris Stroud",72.6333666666666
"Brian Stuard",59.6652333333333
"Zack Sucher",66.7345666666667
"Andy Sullivan",65.5212666666667
"Mike Sullivan",92.6722333333333
"Daniel Summerhays",84.8423333333333
"Julian Suri",54.3328
"Kevin Sutherland",68.3848666666667
"Hal Sutton",96.9084666666666
"Hudson Swafford",69.3131
"Toru Taniguchi",86.9451666666667
"Hideto Tanihara",69.0198333333333
"Phil Tataurangi",89.7684
"Ben Taylor",68.6825666666667
"Nick Taylor",48.0658
"Vaughn Taylor",63.9430333333333
"Josh Teater",56.2040000000001
"Lance Ten Broeck",93.9568333333333
"Doug Tewell",83.1839666666667
"Justin Thomas",31.0292333333333
"Chris Thompson",69.5269666666666
"Leonard Thompson",103.736933333333
"Michael Thompson",52.6911333333334
"Rocky Thompson",92.1757666666667
"Peter Thomson",40.9538105212691
"Jim Thorpe",80.1392666666667
"Brendon Todd",49.6431666666667
"David Toms",61.8491
"Bob Toski",65.1766
"D.J. Trahan",58.5039
"Martin Trainer",90.1940666666667
"Lee Trevino",48.3219002028237
"Cameron Tringale",44.0221333333333
"Kirk Triplett",85.9518000000001
"Ted Tryba",88.8516333333333
"Marc Turnesa",76.8730333333333
"Bob Tway",70.0707333333333
"Kevin Tway",70.3405333333333
"Greg Twiggs",89.7086000000001
"Howard Twitty",91.6757333333333
"Peter Uihlein",76.3160333333333
"Omar Uresti",83.2190333333333
